wavelength,cloudy_day,snow_and_sun,partly_cloudy_day
Date,09/01/2019,19/01/2017,01/10/2019
Time,12:00:00,12:00:00,12:00:00
Memo,A180 I00,A180 I00,A180 I00
Sensor,MS-711,MS-711,MS-711
Exposure Time(msec),200,100,100
Sensor Temp.(deg),24.4,24.4,25.2
Power(V),5.9,5.9,5.9
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um)
612.8,166.89,485.09,882.39
613.21,167.49,484.8,881.19
613.63,168.41,484.37,879.53
614.05,168.02,485.42,878.07
614.46,166.57,484.53,876.8
614.88,166.48,482.63,876.6
615.29,166.59,482.74,876.2
615.71,166.36,483.32,876.05
616.12,166.33,483.59,873.22
616.54,166.47,483.68,872.47
616.96,167.59,484.37,872.65
617.37,167.71,485.68,872.12
617.79,166.76,486.5,871.7
618.2,166.59,485.63,872.39
618.62,167.26,485.81,873.67
619.03,168.27,487.01,874.09
619.45,167.83,489.27,874.07
619.86,167.04,489.85,873.55
620.28,166.97,487.79,874.16
620.7,167.49,488.1,874.58
621.11,167.62,488.74,873.16
621.53,167.99,488.8,871.2
621.94,167.88,487.66,872.14
622.36,168.44,486.13,872.22
622.77,168.09,486,871.35
623.19,166.76,485.9,869.29
623.6,165.82,483.67,868.44
624.02,165.82,481.02,865.74
624.43,166.14,479.7,862.72
624.85,165.34,479.38,858.71
625.26,163.57,478.67,857.47
625.68,163.32,474.45,856.95
